The collocation tendency of ZAI with different situation types,,
Verbs,Situation Type,ZHE
观察,Activity,61
解,Activity,9
解决,Activity,1
解开,Transition,1
解放,Transition,1
解释,Activity,33
警告,Activity,8
计算,Activity,31
订,Activity,1
认,Activity,1
讨,Activity,3
讨厌,State,1
讨论,Activity,7
让,Activity,17
训练,Activity,1
议论,Activity,50
记,Activity,172
记录,Activity,17
讲,Activity,69
评论,Activity,6
试,Activity,89
试验,Activity,3
说,Activity,4101
请,Activity,4
请求,Activity,4
读,Activity,122
调,Activity,4
调动,Activity,1
调整,Activity,2
调解,Activity,1
谈,Activity,203
谈论,Activity,65
谢,Activity,2
负担,State,2
贡献,Activity,1
责备,Activity,5
贪,State,4
贪图,State,2
贴,Activity,172
赔,Activity,37
走,Activity,888
走向,Activity,1
赶,Activity,88
起,Activity,120
趴,Activity,2
跌,Transition,1
跑,Activity,143
跟,State,910
跟随,State,6
跪,Activity,96
跳,Activity,165
跳舞,Activity,2
踏,Activity,281
踢,Activity,34
踩,Activity,108
蹂躏,Activity,2
蹦,Activity,5
蹲,Activity,89
躲,Activity,101
躲藏,Activity,3
躲避,Activity,23
躺,Activity,406
轧,Activity,1
转,Activity,118
转变,Transition,1
轰动,State,1
输,Activity,2
过,Activity,165
迈进,Transition,1
迎接,Activity,25
运,Activity,2
运用,Activity,1
进行,Activity,117
迷,State,5
迷信,State,3
追,Activity,158
追求,Activity,9
退,Activity,2
送,Activity,44
选,Activity,1
透,Activity,87
递,Activity,4
逗,Activity,27
逗人,Activity,1
通,Activity,2
逮,Activity,1
逮捕,Activity,2
逼,Activity,202
遗留,State,2
遵守,Activity,3
避,Activity,12
避免,Transition,3
配,Activity,20
配合,Activity,23
酝酿,Activity,18
醒,Activity,40
重复,Activity,3
量,Activity,1
钉,Activity,48
钻,Activity,9
铺,Activity,93
锁,Activity,61
锯,Activity,4
锻炼,Activity,4
镇压,Activity,2
长满,Transition,1
闪,Activity,297
闭,Activity,208
问,Activity,148
闹,Activity,114
闻,Activity,38
阅读,Activity,1
防备,Activity,9
阻挡,Activity,5
降落,Activity,2
限制,Activity,4
陪,Activity,563
隐瞒,Activity,4
隐藏,Activity,43
雇,State,4
需要,State,7
震动,Activity,11
靠,Activity,146
靠近,Transition,2
顶,Activity,130
顺,Activity,69
预备,Activity,37
领导,Activity,20
飘,Activity,58
飘扬,Activity,4
飞,Activity,39
饿,Activity,55
驮,Activity,24
驾驶,Activity,20
骂,Activity,140
骑,Activity,222
骗,Activity,2
鼓励,Activity,15
飘荡,Activity,4
颤,Activity,2
颤抖,Activity,3
陪伴,Activity,9
闪烁,Activity,11
追赶,Activity,2
运行,Activity,1
跳动,Activity,3
踌躇,Activity,12
谈笑,Activity,2
询问,Activity,1
计划,Activity,12
筹划,Activity,3
看守,Activity,2
监视,Activity,11
盘算,Activity,13
犹豫,Activity,3
燃烧,Activity,8
爱慕,State,1
流淌,Activity,5
期待,Activity,19
期盼,State,1
暗恋,Activity,1
晃动,Activity,2
整理,Activity,4
播放,Activity,2
摸索,Activity,4
搬运,Activity,1
探索,Activity,3
拉扯,Activity,1
抖,Activity,3
抚摸,Activity,13
打扫,Activity,1
打量,Activity,2
想象,Activity,8
思索,Activity,4
思考,Activity,2
忙,Activity,111
忙碌,Activity,4
忧虑,State,1
念叨,Activity,3
徘徊,Activity,11
安装,Activity,1
困扰,State,10
哭泣,Activity,2
吼,Activity,6
呻吟,Activity,1
向往,State,7
变换,Activity,2
努力,Activity,3
包扎,Activity,2
制造,Activity,1
关注,Activity,10
兴奋,State,2
交谈,Activity,3
催促,Activity,1
争,Activity,42
传阅,Activity,1
侦察,Activity,1
保护,Activity,5
修补,Activity,1
关照,State,3
关闭,Transition,2
冻僵,Transition,1
动摇,Activity,2
叫,Activity,50
响,Activity,1
存在,Activity,264
怨,Activity,1
惊讶,State,1
迷恋,State,4
