The usage of ZAI and ZHENGZAI in classical Chinese and modern Chinese,,,
Verbs,Time,ZAI,ZHENGZAI
争取喘息时间,modern Chinese（1920-2020）,0,1
争取喘息机会,modern Chinese（1920-2020）,1,0
争取在雨季之前稳定地控制全柬埔寨,modern Chinese（1920-2020）,0,1
争取尽力改进和精简国家机关以及保证最严格地遵守法制,modern Chinese（1920-2020）,1,0
争取提前和超额完成第一个五年计划,modern Chinese（1920-2020）,1,0
争取民族解放和阶级解放,modern Chinese（1920-2020）,1,0
争取申请国家项目的试点,modern Chinese（1920-2020）,0,1
争取美好的前程,modern Chinese（1920-2020）,1,0
争取进步联盟,modern Chinese（1920-2020）,1,0
争吵,modern Chinese（1920-2020）,2,3
争吵轿价,modern Chinese（1920-2020）,1,0
争夺“话语权”,modern Chinese（1920-2020）,1,0
争夺中原,modern Chinese（1920-2020）,1,0
争夺地盘,modern Chinese（1920-2020）,1,0
争夺市场,modern Chinese（1920-2020）,1,0
争夺矿产资源,modern Chinese（1920-2020）,1,0
争夺这几秒,modern Chinese（1920-2020）,1,0
争妍,modern Chinese（1920-2020）,1,0
争执,modern Chinese（1920-2020）,1,2
争抢着发抒观感和评论,modern Chinese（1920-2020）,1,0
争抢着那金鱼,modern Chinese（1920-2020）,1,0
争抢鱼食,modern Chinese（1920-2020）,1,0
争权夺利,modern Chinese（1920-2020）,1,0
争来争去,modern Chinese（1920-2020）,1,0
争看洋钱,modern Chinese（1920-2020）,1,0
争着,modern Chinese（1920-2020）,0,1
"争着先鞭，和弗朗哥讲求妥
协",modern Chinese（1920-2020）,0,1
争着献媚,modern Chinese（1920-2020）,1,0
争着看,modern Chinese（1920-2020）,1,0
争议研究与证明和直觉式的“知道”,modern Chinese（1920-2020）,1,0
争论,modern Chinese（1920-2020）,7,2
争论 究竟那种正确,modern Chinese（1920-2020）,1,0
争论一件事情,modern Chinese（1920-2020）,1,0
争论你是否该进NBA,modern Chinese（1920-2020）,1,0
争论巩俐和刘晓庆到底谁更漂亮,modern Chinese（1920-2020）,1,0
争论着,modern Chinese（1920-2020）,1,0
争论着什么事,modern Chinese（1920-2020）,0,1
争论着敌人假投降,modern Chinese（1920-2020）,1,0
争购小汽车,modern Chinese（1920-2020）,1,0
争跳,modern Chinese（1920-2020）,1,0
争辩,modern Chinese（1920-2020）,3,0
互动,modern Chinese（1920-2020）,1,0
互相啮咬,modern Chinese（1920-2020）,1,0
互相帮助,modern Chinese（1920-2020）,1,0
互相推诿,modern Chinese（1920-2020）,1,0
互致问好,modern Chinese（1920-2020）,1,0
互诉心中最重要的秘密,modern Chinese（1920-2020）,0,1
交代什么,modern Chinese（1920-2020）,1,0
交出亮眼的成绩单,modern Chinese（1920-2020）,0,1
交叉着,modern Chinese（1920-2020）,1,0
交合,modern Chinese（1920-2020）,1,0
交头接耳,modern Chinese（1920-2020）,2,0
交战,modern Chinese（1920-2020）,2,1
交换充满幻想的密约,modern Chinese（1920-2020）,1,0
交换意见,modern Chinese（1920-2020）,1,0
交换战事的消息,modern Chinese（1920-2020）,1,0
交替变换外形,modern Chinese（1920-2020）,1,0
交流,modern Chinese（1920-2020）,4,0
交流着,modern Chinese（1920-2020）,1,0
交涉,modern Chinese（1920-2020）,2,1
交火,modern Chinese（1920-2020）,0,1
交融,modern Chinese（1920-2020）,1,0
交谈,modern Chinese（1920-2020）,3,0
交谈着,modern Chinese（1920-2020）,1,1
交运,modern Chinese（1920-2020）,0,1
产仔,modern Chinese（1920-2020）,0,1
产生不容忽视的渗透作用,modern Chinese（1920-2020）,0,1
产生着障碍,modern Chinese（1920-2020）,1,0
享乐,modern Chinese（1920-2020）,1,0
享受,modern Chinese（1920-2020）,2,0
享受“清闲”,modern Chinese（1920-2020）,1,0
享受“超值”游,modern Chinese（1920-2020）,1,0
享受他的报纸,modern Chinese（1920-2020）,1,0
享受到社会主义的好处,modern Chinese（1920-2020）,0,1
享受坎儿井带来的清凉,modern Chinese（1920-2020）,0,1
