The usage of ZAI and ZHENGZAI in the periods during the Yuan Dynasty and the Ming Dynasty ,,,
Verbs,Time,ZAI,ZHENGZAI
排兵布阵,the Ming Dynasty,0,1
盘问马灵,the Ming Dynasty,0,1
起行,the Ming Dynasty,0,4
嚷闹,the Ming Dynasty,0,1
洒扫,the Ming Dynasty,0,1
商量,the Ming Dynasty,0,1
商议,the Ming Dynasty,0,7
商议军事,the Ming Dynasty,0,1
商议朝廷大事,the Ming Dynasty,0,1
商议迎敌之策,the Ming Dynasty,0,1
商议御乱之策,the Ming Dynasty,0,1
升帐,the Ming Dynasty,0,1
升座玄谈,the Ming Dynasty,0,1
食羊,the Ming Dynasty,0,1
视事,the Ming Dynasty,0,1
收拾起身,the Ming Dynasty,0,1
数钱,the Ming Dynasty,0,1
思量计较,the Ming Dynasty,0,1
思念流泪,the Ming Dynasty,0,1
思想计策,the Ming Dynasty,0,1
厮扭,the Ming Dynasty,0,2
厮杀,the Ming Dynasty,0,1
逃避,the Ming Dynasty,0,1
天翻地覆,the Ming Dynasty,0,1
恸哭,the Ming Dynasty,0,1
问起根由,the Ming Dynasty,0,1
闲谈闲论,the Ming Dynasty,0,1
闲坐,the Ming Dynasty,0,1
歇息,the Ming Dynasty,0,1
行凶,the Ming Dynasty,0,2
行走,the Ming Dynasty,0,1
寻山上烧香的人捎信与你,the Ming Dynasty,0,1
寻思,the Ming Dynasty,0,1
寻死,the Ming Dynasty,0,1
巡城,the Ming Dynasty,0,1
疑惑,the Ming Dynasty,0,5
疑惑不决,the Ming Dynasty,0,1
疑惑此事,the Ming Dynasty,0,1
疑虑,the Ming Dynasty,0,6
议事,the Ming Dynasty,0,3
忧恼,the Ming Dynasty,0,1
犹豫,the Ming Dynasty,0,10
游乐,the Ming Dynasty,0,1
游玩,the Ming Dynasty,0,1
赞叹,the Ming Dynasty,0,2
征剿,the Ming Dynasty,0,1
挣命,the Ming Dynasty,0,1
整点兵马,the Ming Dynasty,0,1
追捕你,the Ming Dynasty,0,1
追赶,the Ming Dynasty,0,1
